alpha,cache_ratio,round,strategy,topology,weight
0.9,0.05,7,NOCACHE,TISCALI,2197.772683333333
0.9,0.05,7,WLRU,TISCALI,1786.5107666666668
0.9,0.05,5,WLFU,TISCALI,1494.7514616666667
0.9,0.05,7,LCE-LFU,TISCALI,1671.3104833333334
0.9,0.05,7,LCE-LRU,TISCALI,1831.9783833333333
0.9,0.05,6,GRD,TISCALI,1733.2479166666667
0.9,0.05,6,NOCACHE,TISCALI,2105.9457666666667
0.9,0.05,6,WLRU,TISCALI,1801.1188533333334
0.9,0.05,4,WLFU,TISCALI,1919.151035
0.9,0.05,6,LCE-LRU,TISCALI,1840.2850166666667
0.9,0.05,6,LCE-LFU,TISCALI,1720.9815833333334
0.9,0.05,5,GRD,TISCALI,1565.7928833333333
0.9,0.05,5,NOCACHE,TISCALI,2164.1091333333334
0.9,0.05,3,WLFU,TISCALI,2051.03853
0.9,0.05,5,WLRU,TISCALI,1708.1182183333333
0.9,0.05,5,LCE-LFU,TISCALI,1571.0433833333334
0.9,0.05,5,LCE-LRU,TISCALI,1757.3903666666668
0.9,0.05,4,GRD,TISCALI,2017.0329666666667
0.9,0.05,4,NOCACHE,TISCALI,2749.88845
0.9,0.05,4,WLRU,TISCALI,2197.9137866666665
0.9,0.05,2,WLFU,TISCALI,2176.6137233333334
0.9,0.05,4,LCE-LFU,TISCALI,2006.2142166666667
0.9,0.05,4,LCE-LRU,TISCALI,2255.8836
0.9,0.05,3,GRD,TISCALI,2142.3856
0.9,0.05,3,NOCACHE,TISCALI,2798.784166666667
0.9,0.05,3,WLRU,TISCALI,2295.544855
0.9,0.05,1,WLFU,TISCALI,1996.44542
0.9,0.05,3,LCE-LFU,TISCALI,2138.2109333333333
0.9,0.05,3,LCE-LRU,TISCALI,2352.5387
0.9,0.05,2,GRD,TISCALI,2290.1520166666664
0.9,0.05,2,NOCACHE,TISCALI,3167.1354
0.9,0.05,0,WLFU,TISCALI,1699.7834883333333
0.9,0.05,2,WLRU,TISCALI,2520.0564566666667
0.9,0.05,2,LCE-LFU,TISCALI,2268.9855166666666
0.9,0.05,2,LCE-LRU,TISCALI,2576.85615
0.9,0.05,1,GRD,TISCALI,2095.7292333333335
0.9,0.05,1,NOCACHE,TISCALI,2831.1433333333334
0.9,0.05,1,WLRU,TISCALI,2267.693725
0.9,0.05,1,LCE-LFU,TISCALI,2073.0512833333332
0.9,0.05,0,GRD,TISCALI,1765.3398
0.9,0.05,1,LCE-LRU,TISCALI,2310.9309166666667
0.9,0.05,0,NOCACHE,TISCALI,2248.1574333333333
0.9,0.01,7,WLFU,TISCALI,1752.97897
0.9,0.05,0,WLRU,TISCALI,1867.1885016666668
0.9,0.05,0,LCE-LFU,TISCALI,1766.7722833333332
0.9,0.01,7,WLRU,TISCALI,1940.3985266666666
0.9,0.05,0,LCE-LRU,TISCALI,1908.08345
0.9,0.01,6,WLFU,TISCALI,1780.691105
0.9,0.01,7,NOCACHE,TISCALI,2197.772683333333
0.9,0.01,7,GRD,TISCALI,1807.7162166666667
0.9,0.01,7,LCE-LRU,TISCALI,1974.3121166666667
0.9,0.01,6,WLRU,TISCALI,1914.8747633333332
0.9,0.01,7,LCE-LFU,TISCALI,1813.0358666666666
0.9,0.01,5,WLFU,TISCALI,1665.0456116666667
0.9,0.01,6,NOCACHE,TISCALI,2105.9457666666667
0.9,0.01,6,GRD,TISCALI,1832.4169
0.9,0.01,5,WLRU,TISCALI,1879.6345033333334
0.9,0.01,6,LCE-LRU,TISCALI,1944.0289333333333
0.9,0.01,6,LCE-LFU,TISCALI,1823.0701
0.9,0.01,4,WLFU,TISCALI,2136.770505
0.9,0.01,5,NOCACHE,TISCALI,2164.1091333333334
0.9,0.01,5,GRD,TISCALI,1718.7040333333334
0.9,0.01,5,LCE-LRU,TISCALI,1913.8475833333334
0.9,0.01,4,WLRU,TISCALI,2422.1948383333333
0.9,0.01,3,WLFU,TISCALI,2252.4544333333333
0.9,0.01,5,LCE-LFU,TISCALI,1727.4032166666666
0.9,0.01,4,NOCACHE,TISCALI,2749.88845
0.9,0.01,4,GRD,TISCALI,2213.6028666666666
0.9,0.01,3,WLRU,TISCALI,2507.66778
0.9,0.01,4,LCE-LFU,TISCALI,2207.9352166666667
0.9,0.01,4,LCE-LRU,TISCALI,2467.956866666667
0.9,0.01,3,NOCACHE,TISCALI,2798.784166666667
0.9,0.01,3,GRD,TISCALI,2324.9875
0.9,0.01,2,WLFU,TISCALI,2448.551826666667
0.8,0.05,7,WLFU,TISCALI,1768.0968616666667
0.9,0.01,3,LCE-LRU,TISCALI,2554.8179833333334
0.9,0.01,3,LCE-LFU,TISCALI,2324.0858333333335
0.9,0.01,2,WLRU,TISCALI,2783.2257783333334
0.9,0.01,2,NOCACHE,TISCALI,3167.1354
0.9,0.01,2,GRD,TISCALI,2534.45155
0.9,0.01,1,WLFU,TISCALI,2215.2031166666666
0.9,0.01,2,LCE-LFU,TISCALI,2525.4441833333335
0.9,0.01,2,LCE-LRU,TISCALI,2827.1410166666665
